inflow_vol,month,starting_stage
1384,June,3846.59
1410,August,3806.29
1549,July,3840.77
1410,June,3805.05
1424,May,3808.82
1532,July,3811.26
1439,August,3842.61
1421,June,3802.88
1405,June,3833.04
1411,June,3816.05
1368,April,3801.61
1540,May,3843.38
1436,June,3844.08
1476,May,3841.58
1443,May,3808.13
1421,September,3826.16
1604,June,3853.69
1451,May,3817.79
1559,August,3851.29
1476,May,3811.25
1578,May,3819.24
1586,August,3812.58
1482,June,3821.86
1593,July,3802.01
1539,August,3796.74
1490,August,3841.56
1564,July,3844.95
1521,May,3819.43
1553,June,3845.51
1527,June,3806.57
1479,July,3798.52
1574,August,3843.77
1508,June,3857.31
1536,June,3846.55
1579,July,3816.09
1586,June,3813.05
1627,June,3811.44
1553,July,3850.66
1525,May,3844.90
1486,May,3851.17
1588,July,3811.88
1597,June,3818.64
1505,August,3838.96
1600,June,3806.42
1564,July,3823.11
1593,June,3841.78
1521,July,3838.20
1563,May,3819.77
1604,July,3798.07
1575,June,3848.16
1588,August,3838.77
1572,August,3853.35
1638,May,3847.59
1662,May,3837.44
1611,May,3820.77
1623,July,3804.76
1563,June,3815.28
1565,May,3817.79
1605,July,3802.86
1637,May,3821.16
1587,August,3854.16
1514,June,3853.83
1586,August,3798.31
1628,May,3820.72
1560,June,3804.73
1565,June,3814.42
1634,July,3792.29
1657,July,3818.70
1536,August,3799.95
1583,July,3799.03
1695,June,3818.14
1649,May,3819.90
1579,June,3814.63
1593,July,3806.24
1667,May,3834.98
1621,July,3806.71
1740,June,3833.29
1599,June,3827.55
1797,May,3812.28
1697,August,3831.94
1602,May,3822.68
1669,May,3820.73
1741,June,3822.45
1661,July,3845.89
1682,June,3803.77
1681,May,3816.39
1684,May,3820.53
1719,May,3811.61
1715,June,3809.61
1682,May,3838.87
1729,August,3803.03
1626,June,3805.53
1674,August,3810.08
1607,June,3815.30
1647,May,3818.88
1698,August,3800.28
1718,July,3850.70
1812,June,3805.17
1718,June,3816.99
1755,May,3844.12
1637,July,3801.99
1702,June,3812.53
1721,August,3805.27
1746,May,3860.78
1740,June,3804.97
1772,August,3810.76
1698,August,3842.29
1833,July,3824.54
1679,July,3835.77
1800,July,3805.16
1729,July,3808.54
1724,May,3837.11
1731,August,3829.64
1696,May,3833.86
1731,July,3815.05
1714,July,3806.53
1758,May,3814.51
1809,July,3810.57
1787,July,3816.89
1826,May,3826.86
1789,August,3834.65
1842,July,3843.86
1748,May,3806.65
1734,August,3821.15
1826,May,3836.04
1825,July,3826.43
1780,June,3820.27
1722,June,3812.30
1697,June,3805.41
1796,May,3820.06
1839,June,3844.02
1874,May,3849.32
1756,September,3848.31
1821,July,3837.77
1958,August,3803.49
1788,August,3803.64
1847,August,3802.88
1756,August,3798.88
1758,June,3815.37
1781,June,3840.81
1863,April,3848.07
1875,June,3858.21
1903,August,3842.36
1860,May,3797.01
1869,August,3815.37
1861,August,3822.21
1779,August,3809.78
1974,August,3792.06
1833,June,3806.58
1877,July,3798.34
1883,August,3804.02
1816,May,3838.81
1757,June,3822.97
1906,July,3824.70
1791,May,3816.23
1841,May,3815.50
1929,August,3797.56
1797,August,3801.42
1923,July,3851.96
1910,July,3806.53
2018,July,3805.87
1880,June,3839.79
1907,May,3841.68
1874,July,3827.50
1889,July,3800.35
1972,July,3848.88
1985,July,3806.35
1956,June,3804.10
1942,June,3806.20
1938,September,3799.68
1798,July,3795.66
2116,May,3845.85
1983,June,3840.10
1903,July,3841.27
1877,May,3847.11
1979,July,3848.68
1919,June,3845.42
1860,June,3813.47
1866,May,3811.15
1901,August,3823.40
1977,July,3839.19
2032,June,3817.58
1925,June,3834.37
1951,June,3816.65
1944,August,3836.88
1938,May,3811.99
2066,May,3836.63
1921,June,3838.95
2016,May,3819.24
1929,June,3835.26
1955,July,3807.67
2057,May,3813.88
1943,August,3819.16
1930,June,3829.64
1895,July,3808.39
1937,August,3816.31
2019,June,3815.87
1959,June,3843.46
1998,June,3817.41
2075,August,3806.22
2008,May,3798.29
2078,August,3814.19
1953,April,3847.35
1996,June,3832.52
2157,July,3801.69
2160,June,3833.34
2060,July,3852.06
1970,June,3808.37
2085,May,3807.51
2061,August,3851.68
2109,July,3821.45
2069,May,3807.54
2062,August,3836.52
2103,July,3824.48
2082,May,3804.63
2152,May,3831.85
2013,June,3853.50
2129,May,3821.52
2165,July,3852.88
2006,July,3854.88
2127,June,3803.00
1998,May,3810.92
2019,July,3807.02
